CODIGO,DESCRIPCION,MODELO,TAGS,QTY,N_PARTE
174813,IMPULSOR 4VC,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440107090
174839,DISCO SUCCION,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440110090
174821,DISCO PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440211090
332163,EMPAQUETADURA FLANGE DESCARGA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440197062
415471,CAJA PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440230000
176248,PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440231000
441857,ANILLO HIDRAULICO,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440232001
31559,CAMISA EJE,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440233000
31534,ANILLO ESPACIADOR (golilla impulsor),6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440134000
31575,EMPAQUETADURA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440235000
456152,O'RING ANILLO ESPACIADOR,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,1031324000
326744,O'RING CAMISA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,1031329000
365197,ANILLO DE DESGASTE,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440220090
451328,CAMISA ESPACIADORA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440221000
326314,BEARING ASSEMBLY N°4,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440152000
441873,CHAVETA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440195000
499491,PROTECCION CORREAS,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440198200
307629,POLEA 15.5DP.x5 - 5VxFUND.GRIS C/MANG. Polea Bomba,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,PP05615500
761949,BOLT AJUSTING MONTAJE ZV WARMAN 100 SLR,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,3,A440198103
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRH,310PP151 | 312PP1504 | 312PP1505,2,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,WA250Y-10
336230,BOMBA ASH. 8x8x17 SRH _ZV S/POLEA/COR,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450200111
465492,BOMBA ASH 8 x 8 x 17 - SRH_BS REPARABLE,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,
332080,CARCASA SUCCION(3),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450101000
332098,CARCASA PRENSA(2),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450102000
332106,REVESTIMIENTO LADO SUCCION(6),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450104090
591966,REVESTIMIENTO LADO PRENSA(2),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450205090
591958,IMPULSOR 4VC(4),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450107090
332130,DISCO SUCCION(3),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450110090
332148,CAJA PRENSA,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450230000
332155,PRENSA(3),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450131000
332163,ANILLO HIDRAULICO( Teflon)(11),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450132001
415471,ANILLO HIDRAULICO( Bronce)(5),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450132006
332171,CAMISA EJE(12),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450133000
332189,ANILLO ESPACIADOR (golilla impulsor),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450134000
755750,O'RING ANILLO ESPACIADOR(kit de Sello),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,1031339000
756096,O'RING CAMISA,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,1031364000
332205,ANILLO DE DESGASTE,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450220090
332213,CAMISA ESPACIADORA(8),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450221000
755747,PERNO CARCASA/PEDESTAL,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,4,M22H1-60L
430413,GOLILLA PLANA,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,2,1070141000
332239,BEARING ASSEMBLY N°5,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450152000
332254,RODAMIENTO LADO POLEA,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,1160164000
756096,O'RING CORTAGOTAS (Kit sellos),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,1031364000
462366,RESPIRADERO ALEMITE 1/8,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,1061905000
336230,BOMBA ASH 8 x 8 x 17 - SRH_BS,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450200S90
332288,POLEA 21.2DP.x5 - 8V FUND.GRIS C/MANG. Polea Bomba,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,PP05721200
331736,POLEA 15DP.x5 - 8V FUND.GRIS C/MANG. Polea Motor,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,PP05715000
761951,PERNO DE AJUSTE ASH 8' x 8',8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,3,A450199503
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,2,WA250Y-10
